service_level,total_cost,scri_viol,VaR95,TVaR95,method,seed,episode,s,S
0.018782608695652174,5002.4,2,1462.6,1537.0,"sS(s=0,S=35)",42,2,0.0,35.0
0.018511662347278787,4644.0,0,1266.6,1303.0,"sS(s=0,S=35)",42,3,0.0,35.0
0.031874039938556066,4398.3,2,1233.8,1263.0,"sS(s=0,S=35)",42,4,0.0,35.0
0.041944074567243674,5152.6,4,1303.52,1319.0,"sS(s=0,S=35)",42,5,0.0,35.0
0.07076205287713841,4369.2,1,1216.5,1255.0,"sS(s=0,S=35)",42,6,0.0,35.0
0.020659659296846683,4810.7,1,1189.3999999999999,1227.0,"sS(s=0,S=35)",42,7,0.0,35.0
0.03182150694952451,4813.7,3,1428.6,1444.5,"sS(s=0,S=35)",42,8,0.0,35.0
0.03191850594227504,5136.4,0,1288.2,1291.0,"sS(s=0,S=35)",42,9,0.0,35.0
0.04953338119167265,4747.8,4,1189.8,1209.0,"sS(s=0,S=35)",42,10,0.0,35.0
0.02197392923649907,4577.9,0,1340.52,1382.9,"sS(s=0,S=35)",42,11,0.0,35.0
0.05857593826727464,4850.7,0,1453.44,1514.0,"sS(s=0,S=35)",42,12,0.0,35.0
0.024691358024691357,4746.9,3,1234.18,1263.0,"sS(s=0,S=35)",42,13,0.0,35.0
0.03784403669724771,4558.9,5,1219.06,1242.8,"sS(s=0,S=35)",42,14,0.0,35.0
0.019943019943019943,4748.6,3,1351.6799999999998,1378.6,"sS(s=0,S=35)",42,15,0.0,35.0
0.03998505231689088,4629.7,1,1439.2199999999998,1482.6,"sS(s=0,S=35)",42,16,0.0,35.0
0.01971830985915493,4947.6,3,1284.12,1318.0,"sS(s=0,S=35)",42,17,0.0,35.0
0.029813218390804596,4878.3,3,1288.72,1327.9,"sS(s=0,S=35)",42,18,0.0,35.0
